121,百合都市住宅楼,NULL,NULL,1,BHDSZZL,姜谭
120,城南人家,NULL,5,1,CNRJ,姜谭
119,瑞泉佳园,NULL,NULL,1,RQJY,姜谭
105,建工大厦,NULL,NULL,1,JGDS,姜谭
104,水岸丽园,NULL,5,1,SALY,姜谭
103,太白路5#院,NULL,5,1,TBLWH,姜谭
102,陕二建,NULL,NULL,1,SHEJ,姜谭
101,宝鸡制药机械厂,NULL,NULL,1,BJZYJXC,姜谭
100,征稽处,NULL,NULL,1,ZJC,姜谭
118,华夏盛世佳园,NULL,5,1,HXSSJY,姜谭
117,姜园小区,NULL,NULL,1,JYXQ,姜谭
116,景宏名园,NULL,NULL,1,JHMY,姜谭
115,宝鸡市广安置业咨询有限公司,NULL,NULL,1,BJSGAZYZXYXGS,姜谭
112,绿源小区面房,NULL,NULL,1,LYXQMF,姜谭
111,绿源小区,NULL,NULL,1,LYXQ,姜谭
110,姜谭路31#院,NULL,NULL,1,JTLSSY,姜谭
109,姜谭路32#院,NULL,NULL,1,JTLSSE,姜谭
108,清姜西一路60#院,NULL,NULL,1,QJXYLLS,姜谭
107,融新苑,NULL,NULL,1,RXY,姜谭
106,盛和假日,NULL,NULL,1,SHJR,姜谭
114,植物园,NULL,NULL,1,ZWY,姜谭
113,孔家庄小区,NULL,NULL,1,KJZXQ,姜谭
133,中粮国际（计量）,NULL,5,2,ZLGJ,大庆
134,西建康城（计量）,NULL,5,2,XJKC,大庆
135,叉车五厂49#院（计量）,NULL,5,2,CCWC49#,大庆
136,新秦纸厂,NULL,5,2,XQZZ,大庆
137,苗圃新村,NULL,5,2,MPXC,大庆
138,西建领袖（计量）,NULL,NULL,2,XJLX,大庆
139,电机段104#楼（计量）,NULL,NULL,2,DJD104#,大庆
140,电机段103#楼（计量）,NULL,NULL,2,DJD103#,大庆
141,大庆路37号院（计量）,NULL,NULL,2,DQL37#,大庆
142,兴业集团交通佳苑（计量）,NULL,NULL,2,XYJTJTJY,大庆
143,瑞丰上城(计量）,NULL,NULL,2,RFSC,大庆
144,代家湾小学,NULL,NULL,2,DJWXX,大庆
145,南新村开发办住宅楼(计量）,NULL,NULL,2,NXCKFBZZL,大庆
146,油毡厂,NULL,5,2,YZCXQ,大庆
147,叉车五厂10#院（计量）,NULL,5,2,CCWC10#,大庆
148,经纬花园（计量）,NULL,5,2,JWHY,大庆
149,秦岭泊屋门面（计量）,NULL,NULL,2,QLBWMM,大庆
150,秦岭泊屋（计量）,NULL,5,2,QLBW,大庆
151,催化剂厂家属楼（计量）,NULL,NULL,2,CHJCJSL,大庆
152,金台信用联社(计量）,NULL,5,2,JTLS,大庆
153,恒源小区(计量）,NULL,5,2,HYXQ,大庆
154,公路建设局,NULL,NULL,2,GLJSJ,大庆
155,工农新村,NULL,5,2,GNC,大庆
157,东岭房地产开发有限公司,NULL,NULL,2,DLFDC,大庆
158,纺西村(计量）,NULL,NULL,2,FANGXC,大庆
159,宏文路123#院（计量）,NULL,NULL,2,HWL123#,大庆
160,西新村（计量）,NULL,NULL,2,XXC,大庆
161,新市巷1#楼（计量）,NULL,NULL,2,XSX1#,大庆
162,复新村（计量）,NULL,5,2,FXC,大庆
163,宏文路43号院（计量）,NULL,NULL,2,HWL43#,大庆
164,东新村（计量）,NULL,NULL,2,DXC,大庆
165,十里铺社区卫生服务中心（计量）,NULL,NULL,2,SLPWSFFZX,大庆
166,宏文路58号院（计量）,NULL,NULL,2,HWL58#,大庆
167,叉车五厂68#院（计量）,NULL,5,2,CCWC68#,大庆
188,秀水居,NULL,5,3,XSJ,桥南
189,欣晨佳园,NULL,NULL,3,XCJY,桥南
190,渭滨质监站家属楼,NULL,NULL,3,WBZJZJSL,桥南
191,石鼓园小区（计量）,NULL,NULL,3,SGYXQ,桥南
192,人民商场家属楼(热计量）,NULL,NULL,3,RMSCJSL,桥南
193,龙廷山水1#,NULL,NULL,3,LTSS1#,桥南
194,联通,NULL,NULL,3,LT,桥南
195,爱琴海幼儿园热计量,NULL,NULL,3,AQHYEY,桥南
196,宝鸡好猫实业（集团）有限公司,NULL,NULL,3,BJHMSY,桥南
197,华宝快美热计量,NULL,NULL,3,HBKM,桥南
198,公园路74号院,NULL,NULL,3,GYL74#,桥南
199,宝鸡市城建投资开发公司（热计量）,NULL,NULL,3,BJSCJTZ,桥南
200,碧源盛锦综合楼,NULL,NULL,3,BYSJZHL,桥南
201,碧源盛锦,NULL,NULL,3,BYSJ,桥南
202,碧水湾,NULL,NULL,3,BSW,桥南
203,碧水湾（市水利局）,NULL,NULL,3,BSWSSLJ,桥南
204,碧水湾（新华书店）,NULL,NULL,3,BSWXHSD,桥南
205,中山西路,NULL,5,4,ZSXL,宝十
206,中山西路145#院,NULL,NULL,4,NULL,宝十
207,中山西路19#院,NULL,NULL,4,NULL,宝十
208,中山西路18#院,NULL,NULL,4,NULL,宝十
209,中山西路17#院,NULL,NULL,4,NULL,宝十
210,中山西路16#院,NULL,NULL,4,NULL,宝十
211,中山西路15#院,NULL,NULL,4,NULL,宝十
